id,name,name_en,scientific_name,is_active,description_ru,description_ua,description_en,symptoms_ru,symptoms_ua,symptoms_en,development_conditions_ru,development_conditions_ua,development_conditions_en,control_measures_ru,control_measures_ua,control_measures_en,photo_path,source_urls,crops
e8e20e15-1322-4c53-8f29-3f27fddff7f6,Бурая гниль,Brown rot,,True,Возбудитель -Rhizoctonia solani,Збудник - Rhizoctonia solani,Pathogen - Rhizoctonia solani,,,,,,,,,,downloads\images/diseases\disease_Бурая_гниль_e8e20e15-1322-4c53-8f29-3f27fddff7f6.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/buraya_gnil/,сахарная свекла
a40619a5-d06f-4e38-9de5-8139583a106e,Кагатная гниль,Clamp rot,,True,"Возбудители-Botrytis cinerea, Fusarium spp., Phoma betae, Rhizopus nigricans и др.","Збудники - Botrytis cinerea, Fusarium spp., Phoma betae, Rhizopus nigricans та інші.","Pathogens include Botrytis cinerea, Fusarium spp., Phoma betae, Rhizopus nigricans, and others.","Симптомы болезниНа корнеплодах появляется плесень разного цвета, сухая или мокрая гнили. Тип гнили зависит от основного возбудителя и условий хранения.Вызывается комплексом микроорганизмов, основная роль в котором принадлежит грибам.Несовершенный грибBotrytis cinerea(серая гниль) на пораженной ткани образует пышную серую грибницу, а также мелкие черные склероции. В результате поражения ткань корнеплода теряет прочность и легко разрушается.Грибы из родаFusarium, такие какF. oxysporum и F.solani,образуют на гниющих корнях белый или розоватый мицелий. Фузариозы поражают корни свеклы часто еще в поле во время вегетации, а затем попадая в кагаты, продолжают свое развитие.Phoma betae(фомоз) заражает корни как в период хранения, так и во время вегетации. Этот гриб вызывает черную сухую гниль корнеплода. Образует спороношение (пикниды) на поверхности пораженной ткани.При повышенной температуре в кагатах, при самосогревании свеклы быстро развивается термофильный мукоровый грибRhizopus nigricans(ризопусная гниль). На поверхности корнеплодов образуется рыхлый, оливково-буровато-серый мицелий гриба с темными головками. В процессе своей жизнедеятельности ризопус разлагает сахар, вызывая спиртовое брожение. Комплексное поражение ризопус и ботритис способствует более быстрому загниванию корнеплодов, чем каждый из них в отдельности.Также в кагатах может развиваться и бактериальная гниль, но как правило в уже пораженных грибами корнях.","Симптоми хвороби На коренеплодах з'являється пліснява різного кольору, суха або мокра гнилі. Тип гнилі залежить від основного збудника та умов зберігання. Викликається комплексом мікроорганізмів, основна роль у якому належить грибам. Недосконалий гриб Botrytis cinerea (сіра гниль) на ураженій тканині утворює пишну сіру грибницю, а також дрібні чорні склероції. Внаслідок ураження тканина коренеплоду втрачає міцність і легко руйнується. Гриби з роду Fusarium, такі як F. oxysporum і F. solani, утворюють на гниючих коренях білий або рожевуватий міцелій. Фузаріози уражають корені буряка часто ще в полі під час вегетації, а потім, потрапляючи в кагати, продовжують свій розвиток. Phoma betae (фомоз) заражає корені як у період зберігання, так і під час вегетації. Цей гриб викликає чорну суху гниль коренеплоду. Утворює спороношення (пікніди) на поверхні ураженої тканини. При підвищеній температурі в кагатах, при самозігріванні буряка швидко розвивається термофільний мукоровий гриб Rhizopus nigricans (ризопусна гниль). На поверхні коренеплодів утворюється пухкий, оливково-буро-сірий міцелій гриба з темними головками. У процесі своєї життєдіяльності ризопус розкладає цукор, викликаючи спиртове бродіння. Комплексне ураження ризопусом і ботритисом сприяє швидшому загниванню коренеплодів, ніж кожен з них окремо. Також у кагатах може розвиватися і бактеріальна гниль, але, як правило, в уже уражених грибами коренях.","Symptoms of the Disease

Root crops exhibit mold of various colors, as well as dry or wet rot. The type of rot depends on the primary pathogen and storage conditions. The disease is caused by a complex of microorganisms, with fungi playing a major role. The imperfect fungus *Botrytis cinerea* (gray mold) forms a dense gray mycelium and small black sclerotia on the affected tissue. As a result of the infection, the tissue of the root crop loses its strength and easily disintegrates. Fungi from the genus *Fusarium*, such as *F. oxysporum* and *F. solani*, produce white or pinkish mycelium on decaying roots. Fusarium infections often affect beet roots in the field during the growing season and continue to develop in storage piles. *Phoma betae* (phoma rot) infects roots both during storage and the growing season. This fungus causes black dry rot of the root crop and forms spore-producing structures (pycnidia) on the surface of the affected tissue. At elevated temperatures in storage piles, during self-heating of beets, the thermophilic mucor fungus *Rhizopus nigricans* (Rhizopus rot) rapidly develops. A loose, olive-brownish-gray mycelium with dark sporangia forms on the surface of the root crops. In its life process, *Rhizopus* breaks down sugar, causing alcoholic fermentation. Combined infection by *Rhizopus* and *Botrytis* leads to faster decay of root crops than either fungus alone. Bacterial rot may also develop in storage piles, but typically in roots already affected by fungi.","Факторы, содействующие развитию болезниРанние или запоздалые сроки уборки. При запоздалой или ранней уборке корнеплоды смягчаются или подмерзают, что приводит к массовому развитию болезни.Механические повреждения в процессе уборкиПоражение различными заболеваниями в период вегетации","Фактори, що сприяють розвитку хворобиРанні або запізні строки збирання. При запізнілому або ранньому збиранні коренеплоди розм'якшуються або підмерзають, що призводить до масового розвитку хвороби.Механічні пошкодження в процесі збиранняУраження різними захворюваннями в період вегетації","Factors Contributing to Disease Development

Early or Late Harvesting Times. Early or late harvesting can cause root crops to soften or freeze, leading to widespread disease development.

Mechanical Damage During Harvesting

Infection by Various Diseases During the Growing Season","Меры защитыСевооборот (повторять культуру не чаще, чем через три-четыре года)Сбалансированное минеральное питаниеЗащита корней от подвяливания и подмораживания в процессе уборкиСвоевременные сроки уборкиВыбраковка корней при закладке на хранениеСокращение травмирования корнеплодов во время уборки, транспортировки и закладки на хранениеЗащита свеклы о т вредителей и болезней в период вегетацииПериодический контроль за состоянием кагатовФунгицидная обработка при закладке на хранение","Заходи захисту

Сівозміна (повторювати культуру не частіше, ніж через три-чотири роки)

Збалансоване мінеральне живлення

Захист коренів від підв'ялювання та підмерзання під час збирання

Своєчасні строки збирання

Вибракування коренів при закладці на зберігання

Зменшення травмування коренеплодів під час збирання, транспортування та закладки на зберігання

Захист буряків від шкідників і хвороб у період вегетації

Періодичний контроль за станом кагатів

Фунгіцидна обробка при закладці на зберігання","Protection MeasuresCrop Rotation (do not repeat the crop more often than every three to four years)Balanced Mineral NutritionProtection of Roots from Wilting and Frost Damage during HarvestTimely HarvestingRejection of Roots during Storage PreparationReduction of Root Crop Damage during Harvesting, Transportation, and StorageProtection of Beets from Pests and Diseases during the Vegetation PeriodPeriodic Monitoring of Clamp ConditionsFungicidal Treatment during Storage Preparation",downloads\images/diseases\disease_Кагатная_гниль_a40619a5-d06f-4e38-9de5-8139583a106e.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/kagatnaya-gnil/,сахарная свекла
1de915fa-9193-4988-b365-cc104f271e83,Корнеед свеклы,Beet root rot,,True,"Возбудителем корнееда являются грибы разных классов: оомицеты -Pythium ultimum, P. debaryanum, Aphanomyces cochlioides; базидиомицеты -Rhizoctonia solani; аскомицеты -Phoma betae; несовершенные грибы -Fusarium spp.","Збудниками кореневої гнилі є гриби різних класів: ооміцети - Pythium ultimum, P. debaryanum, Aphanomyces cochlioides; базидіоміцети - Rhizoctonia solani; аскоміцети - Phoma betae; недосконалі гриби - Fusarium spp.","The causative agents of root rot are fungi from different classes: oomycetes - Pythium ultimum, P. debaryanum, Aphanomyces cochlioides; basidiomycetes - Rhizoctonia solani; ascomycetes - Phoma betae; and imperfect fungi - Fusarium spp.",,,,,,,,,,downloads\images/diseases\disease_Корнеед_свеклы_1de915fa-9193-4988-b365-cc104f271e83.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/korneed_svekly/,сахарная свекла
ccb92340-aec4-4068-8ed1-5328c08377b0,Мучнистая роса сахарной свеклы,Powdery mildew of sugar beet,,True,Возбудитель -Erysiphe communis Grev. f. sp. betae Poteb.(класс Аскомицеты),Збудник - Erysiphe communis Grev. f. sp. betae Poteb. (клас Аскоміцети),The pathogen is Erysiphe communis Grev. f. sp. betae Poteb. (class Ascomycetes).,"Симптомы болезниПоражаются растения первых двух лет. На листьях с верхней и нижней стороны появляются очаги белого налёта, которые быстро разрас­таются и становятся более плотными, мучнистыми. Очаги могут располагаться на стеблях и клубочках свеклы. При встряхивании растений налёт пы­лит. Во второй половине лета на нём образуются сначала бурые, а позже чёрные точки - клейстотеции.Источник инфекцииВозбудитель зимует в виде клейстотециев на остатках пораженных растений, на поверхности почвы, на головках маточной свеклы, на клубочках семян. Первичное заражение осуществляется аскоспорами из перезимовавших клейстотециев. Во время вегетации распространяется при помощи конидий.ЗначениеМучнистая роса свеклы усиливает транспирацию растений, нарушает про­цессы синтеза сахаров и других органических соединений, ухудшает отток пластических ве­ществ в корнеплод. Поражённые листья быстро стареют, снижается  урожайность корнеплодов на 20-30% и семян; снижается сахаристость, а также всхожесть семян - на 11-38%.","Симптоми хвороби Уражаються рослини перших двох років. На листках з верхнього та нижнього боку з'являються осередки білого нальоту, які швидко розростаються і стають більш щільними, борошнистими. Осередки можуть розташовуватися на стеблах і клубочках буряка. При струшуванні рослин наліт пилить. У другій половині літа на ньому утворюються спочатку бурі, а пізніше чорні точки - клейстотеції. Джерело інфекції Збудник зимує у вигляді клейстотецій на залишках уражених рослин, на поверхні ґрунту, на головках маточного буряка, на клубочках насіння. Первинне зараження здійснюється аскоспорами з перезимованих клейстотецій. Під час вегетації поширюється за допомогою конідій. Значення Борошниста роса буряка підсилює транспірацію рослин, порушує процеси синтезу цукрів та інших органічних сполук, погіршує відтік пластичних речовин у коренеплід. Уражені листки швидко старіють, знижується врожайність коренеплодів на 20-30% і насіння; знижується цукристість, а також схожість насіння - на 11-38%.","Symptoms of the Disease

Plants in their first two years are affected. On both the upper and lower sides of the leaves, patches of white powdery mildew appear, which quickly expand and become denser and more powdery. These patches can also be found on the stems and seed balls of beets. When the plants are shaken, the mildew releases dust. In the second half of the summer, initially brown and later black spots, known as cleistothecia, form on the mildew.

Source of Infection

The pathogen overwinters in the form of cleistothecia on the remnants of affected plants, on the soil surface, on the heads of mother beets, and on seed balls. Primary infection occurs through ascospores from overwintered cleistothecia. During the growing season, it spreads via conidia.

Significance

Powdery mildew of beets increases plant transpiration, disrupts the synthesis of sugars and other organic compounds, and impairs the flow of assimilates to the root crop. Affected leaves age quickly, reducing root crop yield by 20-30% and seed yield; it also decreases sugar content and seed germination by 11-38%.","Факторы, содействующие развитию болезниБолезнь особенно быстро распространяется при сухой и жаркой погоде, при температуре воздуха порядка 20-З0°С. В таких условиях растения увядают, и сопротивляемость их к по­ражению снижается.При частых дождях грибница патогена растет медленнее, и спороношение уменьшено.","Фактори, що сприяють розвитку хворобиХвороба особливо швидко поширюється за сухої та спекотної погоди, при температурі повітря близько 20-30°С. За таких умов рослини в'януть, і їхня стійкість до ураження знижується.При частих дощах міцелій патогена росте повільніше, а спороношення зменшується.","Factors Contributing to Disease Development

The disease spreads particularly rapidly in dry and hot weather, with air temperatures around 20-30°C. Under these conditions, plants wilt, and their resistance to infection decreases. During frequent rains, the pathogen's mycelium grows more slowly, and sporulation is reduced.",Меры защитыСевооборотПространственная изоляция посевов свеклы свыше 1 км от семенных участковИспользование сортов и гиб­ридов с устойчивостью к мучнис­той росеСбалансиро­ванное минеральное питание (без избытка азота)Уничтожение растительных остат­ковПротравливание семянФунгицидные обработки,"Заходи захистуСівозмінаПросторова ізоляція посівів буряку понад 1 км від насіннєвих ділянокВикористання сортів і гібридів, стійких до борошнистої росиЗбалансоване мінеральне живлення (без надлишку азоту)Знищення рослинних залишківПротруювання насінняФунгіцидні обробки",Protection MeasuresCrop RotationSpatial isolation of beet crops more than 1 km from seed plotsUse of varieties and hybrids resistant to powdery mildewBalanced mineral nutrition (without excess nitrogen)Destruction of plant residuesSeed treatment with fungicidesFungicide applications,downloads\images/diseases\disease_Мучнистая_роса_сахарной_свеклы_ccb92340-aec4-4068-8ed1-5328c08377b0.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/muchnistaya_rosa_svekla/,сахарная свекла
44977995-3100-4526-951b-c6af677c3de5,Пероноспороз свеклы,Downy mildew of beet,гриб,True,"Пероноспороз (ложная мучнистая роса)Возбудитель - грибPeronospora schachtii, класс Оомицеты","Переноспороз (несправжня борошниста роса) Збудник - гриб Peronospora schachtii, клас Ооміцети","Downy Mildew (Peronosporosis)  
Causative Agent - the fungus Peronospora schachtii, class Oomycetes","Симптомы болезниПоражаются растения первого года и семенники. У растений первого года поражаются молодые центральные листья розетки- они желтеют, их края закручиваются вниз, утолщаются и становятся хрупкими. На растениях второго года в начале вегетации поражаются самые молодые листья центральных или периферических почек, а затем верхушки цветоносных побегов, прицветники, цветки и даже семенные клубочки. Пораженные цветоносные побеги искривляются, отстают в росте и отмирают. Во влажную погоду на нижней стороне листьев и других пораженных органах образуется серовато-фиолетовый налет мицелия гриба.Источник инфекции: сохраняется (перезимовывает) главным образом в головках маточных корнеплодов, а также в растительных остатках и в семенных клубочках в виде ооспор. В период вегетации распространяется с помощью конидий, выходящих на поверхность листа на концах конидиеносцев и образующих налет спороношения.Источником первичного заражения являются ооспоры гриба, сохраняющиеся на остатках пораженных растений и в семенах. При прорастании из ооспор образуется инфекционный росток, внедряющийся в ткани молодых листочков и превращающийся в грибницу, из которой позже развивается конидиальное спороношение.Источником повторного заражения является грибница, сохраняющаяся в головках зимующих корнеплодов свеклы. Иногда она проникает не только в поверхностные, но и в более глубокие ткани головки и корня.","Симптоми хвороби Уражуються рослини першого року та насінники. У рослин першого року уражуються молоді центральні листки розетки - вони жовтіють, їх краї закручуються вниз, потовщуються і стають крихкими. На рослинах другого року на початку вегетації уражуються наймолодші листки центральних або периферичних бруньок, а потім верхівки квітконосних пагонів, приквітки, квітки і навіть насіннєві клубочки. Уражені квітконосні пагони викривляються, відстають у рості і відмирають. У вологу погоду на нижньому боці листків та інших уражених органах утворюється сірувато-фіолетовий наліт міцелію гриба. Джерело інфекції: зберігається (зимує) головним чином у головках маточних коренеплодів, а також у рослинних залишках і в насіннєвих клубочках у вигляді ооспор. У період вегетації поширюється за допомогою конідій, що виходять на поверхню листка на кінцях конідієносців і утворюють наліт спороношення. Джерелом первинного зараження є ооспори гриба, що зберігаються на залишках уражених рослин і в насінні. При проростанні з ооспор утворюється інфекційний проросток, що вростає в тканини молодих листочків і перетворюється на грибницю, з якої пізніше розвивається конідіальне спороношення. Джерелом повторного зараження є грибниця, що зберігається в головках зимуючих коренеплодів буряка. Іноді вона проникає не тільки в поверхневі, але й у глибші тканини головки та кореня.","Symptoms of the Disease

The disease affects first-year plants and seed-bearing plants. In first-year plants, the young central leaves of the rosette are affected—they turn yellow, their edges curl downward, thicken, and become brittle. In second-year plants, during the early stages of vegetation, the youngest leaves of the central or peripheral buds are affected, followed by the tips of the flowering shoots, bracts, flowers, and even seed clusters. The affected flowering shoots become distorted, lag in growth, and die. In humid weather, a grayish-purple mycelial coating of the fungus forms on the underside of the leaves and other affected organs.

Source of Infection: The infection primarily overwinters in the heads of mother root crops, as well as in plant debris and seed clusters in the form of oospores. During the growing season, it spreads via conidia, which emerge on the leaf surface at the ends of conidiophores, forming a spore-bearing coating.

The primary source of infection is the oospores of the fungus, which persist on the remnants of affected plants and in seeds. Upon germination, the oospores produce an infectious sprout that penetrates the tissues of young leaves and develops into mycelium, from which conidial sporulation later emerges.

The source of secondary infection is the mycelium that persists in the heads of overwintering beet root crops. Sometimes it penetrates not only the surface tissues but also the deeper tissues of the head and root.",,,,,,,downloads\images/diseases\disease_Пероноспороз_свеклы_44977995-3100-4526-951b-c6af677c3de5.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/Peronosporoz_svekly/,сахарная свекла
c97de52f-a3f9-4549-8bd8-d5e5b74f3212,Рамуляриоз,Ramularia leaf spot,,True,Рамуляриоз (белая пятнистость листьев)Возбудитель - грибRamularia beticola,Рамуляріоз (біла плямистість листя) Збудник - гриб Ramularia beticola,"Ramularia leaf spot (white leaf spot)  
Causal agent - the fungus Ramularia beticola",,,,,,,,,,downloads\images/diseases\disease_Рамуляриоз_c97de52f-a3f9-4549-8bd8-d5e5b74f3212.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/ramulyarioz/,сахарная свекла
cc095bb7-1380-405d-80b1-0779031dbeeb,Ржавчина свеклы,Beet rust,гриб,True,Возбудитель - грибUromyces betae(класс Базидиомицеты),Збудник - гриб Uromyces betae (клас Базидіоміцети),Pathogen - the fungus Uromyces betae (class Basidiomycetes),,,,,,,,,,downloads\images/diseases\disease_Ржавчина_свеклы_cc095bb7-1380-405d-80b1-0779031dbeeb.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/rzavshina_svekly/,сахарная свекла
d32471d2-2520-47ae-9c4e-32af1d93d4bf,Фомоз свеклы,Phoma rot of beet,,True,"Фомоз (зональная пятнистость) свеклыВозбудитель -Phoma betae Frank (Pleospora betae), относящийся к классу несовершенных","Фомоз (зональна плямистість) бурякаЗбудник - Phoma betae Frank (Pleospora betae), що належить до класу недосконалих","Phoma Leaf Spot (Zonal Spot) of Beet  
Causal Agent - Phoma betae Frank (Pleospora betae), belonging to the class of Deuteromycetes","Симптомы болезниЗаболевание второй половины вегетационного периода. Проявляется на нижних листьях в виде округлых крупных некротических пятен желтого и светло-бурого цвета с хорошо заметными концентрическими кругами. Пятна постепенно разрастаются, сливаясь, и на них позднее появляются мелкие черные точки - пикниды. Гриб также вызывает поражение всходов свеклы корнеедом, зональную сухую гниль корнеплода и кагатную гниль. На семенниках: на черешках листьев, стеблях, цветоносных побегах появляются некрозы в виде бурых продольных пятен, на которых также образуются пикниды. Гриб также поражает лепестки околоцветника и инфицирует клубочки семян.На корнеплодах проявляется в виде темных неправильной формы вдавленных пятен, часто растрескивающихся с поверхности. Под пятнами чистая белая ткань корнеплода, видна четкая граница между пораженной и здоровой тканью корнеплода.Источник инфекции: возбудитель зимует на растительных остатках в верхнем слое почвы на глубине 5-15 см, а также в семенах и корнеплодах в виде пикнид и мицелия. В период вегетации гриб распространяется конидиями, образующимися в пикнидах в сырую погоду.","Симптоми хвороби Хвороба другої половини вегетаційного періоду. Проявляється на нижніх листках у вигляді округлих великих некротичних плям жовтого та світло-бурого кольору з добре помітними концентричними колами. Плями поступово розростаються, зливаючись, і на них пізніше з'являються дрібні чорні точки - пікніди. Гриб також викликає ураження сходів буряка кореневою гниллю, зональну суху гниль коренеплоду та кагатну гниль. На насінниках: на черешках листків, стеблах, квітконосних пагонах з'являються некрози у вигляді бурих поздовжніх плям, на яких також утворюються пікніди. Гриб також уражає пелюстки оцвітини та інфікує клубочки насіння. На коренеплодах проявляється у вигляді темних неправильної форми вдавлених плям, які часто тріскаються з поверхні. Під плямами чиста біла тканина коренеплоду, видно чітку межу між ураженою та здоровою тканиною коренеплоду. Джерело інфекції: збудник зимує на рослинних залишках у верхньому шарі ґрунту на глибині 5-15 см, а також у насінні та коренеплодах у вигляді пікнід та міцелію. У період вегетації гриб поширюється конідіями, що утворюються в пікнідах у вологу погоду.","Symptoms of the Disease

This disease occurs in the second half of the growing season. It manifests on the lower leaves as large, round necrotic spots of yellow and light brown color with clearly visible concentric rings. The spots gradually enlarge and merge, and later small black dots, known as pycnidia, appear on them. The fungus also causes seedling damping-off in beets, zonal dry rot of the root crop, and storage rot. On seed plants: necroses appear on the petioles, stems, and flowering shoots as brown longitudinal spots, which also develop pycnidia. The fungus also affects the perianth petals and infects seed clusters. On root crops, it appears as dark, irregularly shaped sunken spots, often cracking on the surface. Under the spots, the root crop tissue is clean and white, with a clear boundary between the affected and healthy tissue.

Source of Infection: The pathogen overwinters on plant residues in the upper soil layer at a depth of 5-15 cm, as well as in seeds and root crops in the form of pycnidia and mycelium. During the growing season, the fungus spreads through conidia, which form in pycnidia during wet weather.","Факторы, содействующие развитию болезниВысокая насыщенность севооборота свеклойНаличие в почве большого количества неперегнивших растительных остатковНедостаток бора","Фактори, що сприяють розвитку хворобиВисока насиченість сівозміни бурякомНаявність у ґрунті великої кількості неперегнилих рослинних залишківНестача бору","Factors Contributing to Disease Development

High Beet Crop Rotation Saturation

Presence of a Large Amount of Undecomposed Plant Residues in the Soil

Boron Deficiency",Меры защитыОчистка полей от послеуборочных остатков с последующей глубокой зяблевой вспашкойСоблюдение севооборотаИспользование устойчивых сортовОптимальные сроки посадки семенниковПротравливание семянПрименение борных микроудобренийУльтрамаг БорФунгицидные обработки,Заходи захистуОчищення полів від післяжнивних залишків з подальшою глибокою зяблевою оранкоюДотримання сівозміниВикористання стійких сортівОптимальні строки посадки насінниківПротруювання насінняЗастосування борних мікродобривУльтрамаг БорФунгіцидні обробки,"Protective Measures

- Clearing fields of post-harvest residues followed by deep autumn plowing
- Adherence to crop rotation
- Use of resistant varieties
- Optimal timing for planting seed crops
- Seed treatment
- Application of boron micronutrients
- Ultramag Bor
- Fungicidal treatments",downloads\images/diseases\disease_Фомоз_свеклы_d32471d2-2520-47ae-9c4e-32af1d93d4bf.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/fomoz_svekli/,сахарная свекла
7fea5175-2954-458d-afe2-0ec1c28fec3e,Фузариоз свеклы,Fusarium wilt of beet,,True,"Возбудитель -Fusarium oxysporum, F. solani(класс Дейтеромицеты - Несовершенные)","Збудник - Fusarium oxysporum, F. solani (клас Дейтероміцети - Недосконалі гриби)","Pathogen - Fusarium oxysporum, F. solani (class Deuteromycetes - Imperfect fungi)","Симптомы болезниЛистья желтеют, как правило, начиная с более старых листьев; затем желтизна распространяется на более молодые листья. Часто можно наблюдать желтизну и увядание с одной стороны листа. Черешки листьев снизу чернеют и гниют.Корень образует большое количество побочных корешков взамен отмерших. Сосудистые пучки в корне чернеют и корни гниют. На продольном и поперечном разрезе корня видны побуревшие и отмершие сосудисто-волокнистые пучки и продольные полости, заполненные белой с розовым оттенком грибницей. Сильно пораженные растения гибнут в начале лета. Часто сухая гниль продолжается вплоть до уборки урожая и распространяется обычно от конца корня по направлению вверх. Иногда сгнивает в земле весь корень кроме верхней части.Источник инфекции: почва, растительные остатки.Условия благоприятные для развития заболевания: жаркая погода; высокая насыщенность севооборота сахарной свеклой приводит к значительному накоплению инфекции в почве и серьезным потерям урожая.","Симптоми хвороби: Листя жовтіє, зазвичай, починаючи зі старіших листків; потім жовтизна поширюється на молодші листки. Часто можна спостерігати жовтизну та в'янення з одного боку листка. Черешки листків знизу чорніють і гниють. Корінь утворює велику кількість бічних корінців замість відмерлих. Судинні пучки в корені чорніють і корені гниють. На поздовжньому та поперечному розрізі кореня видно побурілі та відмерлі судинно-волокнисті пучки і поздовжні порожнини, заповнені білою з рожевим відтінком грибницею. Сильно уражені рослини гинуть на початку літа. Часто суха гниль триває аж до збирання врожаю і зазвичай поширюється від кінця кореня вгору. Іноді в землі згниває весь корінь, крім верхньої частини. Джерело інфекції: ґрунт, рослинні залишки. Умови, сприятливі для розвитку захворювання: спекотна погода; висока насиченість сівозміни цукровим буряком призводить до значного накопичення інфекції в ґрунті та серйозних втрат врожаю.","Symptoms of the Disease

Leaves turn yellow, typically starting with the older leaves; then the yellowing spreads to the younger leaves. Often, yellowing and wilting can be observed on one side of the leaf. The petioles blacken and rot from below. The root develops a large number of lateral roots to replace the dead ones. Vascular bundles in the root blacken and the roots rot. On both longitudinal and cross sections of the root, browned and dead vascular-fibrous bundles and longitudinal cavities filled with white mycelium with a pink tint are visible. Severely affected plants die in early summer. Often, dry rot continues until harvest and usually spreads from the root tip upwards. Sometimes the entire root rots in the ground except for the upper part.

Source of Infection: Soil, plant residues.

Conditions Favorable for Disease Development: Hot weather; high saturation of crop rotation with sugar beet leads to significant accumulation of infection in the soil and serious yield losses.",,,,,,,downloads\images/diseases\disease_Фузариоз_свеклы_7fea5175-2954-458d-afe2-0ec1c28fec3e.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/Fusarioz_svekly/,сахарная свекла
f71ee670-2bdc-4baf-8479-7c794669cc26,Церкоспороз,Cercospora Leaf Spot,,True,Возбудитель -Cercospora beticola Sacc.,Збудник - Cercospora beticola Sacc.,Pathogen - Cercospora beticola Sacc.,"Симптомы болезниБолезнь проявляется на листьях в виде многочисленных некро­зов, серовато-жёлтых, с красно-бурой каймой, размером 2-4 мм. Во влажных условиях на поверхности не­крозов образуется сероватый налёт конидиального спороношения. На черешках листьев некрозы имеют коричневый окрас. Сильно поражённые листья засыхают и отмирают. На растении взамен отмирающих ли­стьев образуются новые, на что затрачивается большое количество пластических веществ, что отрицательно сказывается на массе и качестве корнеплода.Источник инфекцииЗимует гриб в виде мицелия в растительных остатках в верхнем слое почвы, а также в околоплодниках семенных клубочков. Весной на них образуется конидиальное спороношение, являющееся источником первичного заражения. В период вегетации распространяется конидиями.","Симптоми хвороби Хвороба проявляється на листках у вигляді численних некрозів, сірувато-жовтих, з червоно-бурою облямівкою, розміром 2-4 мм. У вологих умовах на поверхні некрозів утворюється сіруватий наліт конідіального спороношення. На черешках листків некрози мають коричневе забарвлення. Сильно уражені листки засихають і відмирають. На рослині замість відмираючих листків утворюються нові, на що витрачається велика кількість пластичних речовин, що негативно позначається на масі та якості коренеплоду. Джерело інфекції Гриб зимує у вигляді міцелію в рослинних рештках у верхньому шарі ґрунту, а також в околоплодниках насіннєвих клубочків. Навесні на них утворюється конідіальне спороношення, яке є джерелом первинного зараження. У період вегетації поширюється конідіями.","Symptoms of the Disease

The disease manifests on leaves as numerous necroses, grayish-yellow with a reddish-brown border, measuring 2-4 mm. Under humid conditions, a grayish coating of conidial sporulation forms on the surface of the necroses. On the petioles, the necroses appear brown. Severely affected leaves dry out and die. The plant compensates for the dying leaves by producing new ones, which consumes a large amount of assimilates, negatively affecting the mass and quality of the root crop.

Source of Infection

The fungus overwinters as mycelium in plant residues in the upper soil layer, as well as in the pericarps of seed clusters. In spring, conidial sporulation forms on them, serving as the source of primary infection. During the growing season, it spreads through conidia.","Факторы, содействующие развитию болезниТеплая и влажная погода","Фактори, що сприяють розвитку хворобиТепла та волога погода",Factors Contributing to Disease Development: Warm and Humid Weather,Меры защитыИспользование толерантных сортов и гибридов свеклыСевооборот с исключением поражаемых культурУничтожение растительных остатков и борьба с сорнякамиФунгицидная обработка,Заходи захистуВикористання толерантних сортів і гібридів бурякуСівозміна з виключенням уражуваних культурЗнищення рослинних залишків і боротьба з бур'янамиФунгіцидна обробка,"Protective Measures

- Use of tolerant beet varieties and hybrids
- Crop rotation excluding susceptible crops
- Destruction of plant residues and weed control
- Fungicidal treatment",downloads\images/diseases\disease_Церкоспороз_f71ee670-2bdc-4baf-8479-7c794669cc26.jpg,https://betaren.ru/harmful/bolezni/bolezni-sakharnoy-svekly/cerkosporoz_svekli/,сахарная свекла
