id,name,name_en,scientific_name,is_active,description_ru,description_ua,description_en,symptoms_ru,symptoms_ua,symptoms_en,development_conditions_ru,development_conditions_ua,development_conditions_en,control_measures_ru,control_measures_ua,control_measures_en,photo_path,source_urls,crops
8ed6d560-8498-4ff9-b3e1-f3b113dea723,Антракноз сои,Anthracnose of Soybean,гриб,True,Возбудитель - грибColletotrichum truncatum,Збудник - гриб Colletotrichum truncatum,Pathogen - the fungus Colletotrichum truncatum,,,,,,,,,,downloads\images/diseases\disease_Антракноз_сои_8ed6d560-8498-4ff9-b3e1-f3b113dea723.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/antraknoz_soi/,соя
32cbc1ae-f8c5-4347-8809-2d0d93d528c9,Аскохитоз сои,Ascochyta blight of soybean,,True,Возбудители болезни - грибы из родаAscochyta (Ascochyta sojaecola),Збудники хвороби - гриби з роду Ascochyta (Ascochyta sojaecola),Pathogens of the disease are fungi from the genus Ascochyta (Ascochyta sojaecola).,"Симптомы болезниЗараженные семена имеют бурую окраску. Болезнь развивается на любых надземных частях растения. На листьях образуются бурые пятна неправильной формы (до 8 мм в диаметре). На стеблях и черешках аскохитоз имеет пятна или полоски того же цвета, нередко сливающиеся. На пораженной тканях образуются мелкие многочисленные точки - плодоношения гриба. Болезнь может проявляется и на бобах.","Симптоми хвороби. Заражене насіння має буре забарвлення. Хвороба розвивається на будь-яких надземних частинах рослини. На листках утворюються бурі плями неправильної форми (до 8 мм в діаметрі). На стеблах і черешках аскохітоз проявляється у вигляді плям або смужок того ж кольору, які часто зливаються. На уражених тканинах утворюються дрібні численні точки - плодові тіла гриба. Хвороба може проявлятися і на бобах.","Symptoms of the Disease Infected seeds exhibit a brown discoloration. The disease develops on any above-ground parts of the plant. On the leaves, brown spots of irregular shape (up to 8 mm in diameter) appear. On stems and petioles, ascochyta manifests as spots or streaks of the same color, often merging together. On the affected tissues, small numerous dots form, which are the fruiting bodies of the fungus. The disease can also manifest on pods.","Факторы, содействующие развитию болезниОбильные осадки или высокая относительная влажность, температура воздуха порядка 20°С, влажные почвы.Пораженные семенаБольные растительные остатки в почве.","Фактори, що сприяють розвитку хвороби: рясні опади або висока відносна вологість, температура повітря близько 20°C, вологі ґрунти. Уражене насіння. Хворі рослинні залишки в ґрунті.","Factors Contributing to Disease Development Abundant rainfall or high relative humidity, air temperature around 20°C, and moist soils. Infected Seeds Diseased plant residues in the soil.","Меры защитыПредпосевное внесение в почву фосфорно-калийных удобренийРанние сроки посеваСевооборотСвоевременная уборка сои, быстрое просушивание и обмолотУборка всех послеуборочных остатков с последующей глубокой зяблевой вспашкой.Протравливание семян","Заходи захистуПередпосівне внесення в ґрунт фосфорно-калійних добривРанні строки посівуСівозмінаСвоєчасне збирання сої, швидке просушування та обмолотЗбирання всіх післяжнивних залишків з подальшою глибокою зяблевою оранкою.Протруювання насіння","Protection MeasuresPre-sowing application of phosphorus-potassium fertilizersEarly sowing datesCrop rotationTimely harvesting of soybeans, rapid drying, and threshingRemoval of all post-harvest residues followed by deep autumn plowingSeed treatment",downloads\images/diseases\disease_Аскохитоз_сои_32cbc1ae-f8c5-4347-8809-2d0d93d528c9.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/askohitos_soya/,соя
2c1ca477-a9ef-4296-8e77-b81a6e4904c8,Бактериальный ожог,Bacterial blight,бактерия,True,Возбудитель - бактерияPseudomonas syringae pv.glycinea,Збудник - бактерія Pseudomonas syringae pv. glycinea,The pathogen is the bacterium Pseudomonas syringae pv. glycinea.,"Симптомы болезниНаблюдается как на молодых, так и на взрослых растениях. На наружной стороне семядольных листьев появляются зеленовато-желтые маслянистые пятна разной формы и величины, на гипокотиле - продолговаты пятна буро-коричневого цвета. В молодом возрасте мелкие пятна на листьях желтовато-бурые, водянистые, просвечивающиеся, со временем становятся темно-коричневыми или черными. Н а нижней стороне листа выделяются капельки бактериального экссудата, который, высыхая, становится блестящими чешуйками. С возрастом пятна, увеличиваясь, объединяются, ткань листа выпадает.На стеблях и бобах бактериальный ожог наблюдается в виде темно-коричневых полос. На бобах пятна желтоватые, маслянистые, с возрастом - темно-коричневые. Больные семена теряют всхожесть или дают нежизнеспособные проростки. Болезнетворные бактерии могут сохраняться на семенах и в поле на остатках пораженных растений.","Симптоми хвороби спостерігаються як на молодих, так і на дорослих рослинах. На зовнішній стороні сім'ядольних листків з'являються зеленувато-жовті маслянисті плями різної форми та величини, на гіпокотилі - подовжені плями буро-коричневого кольору. У молодому віці дрібні плями на листках жовтувато-бурі, водянисті, прозорі, з часом стають темно-коричневими або чорними. На нижньому боці листка виділяються крапельки бактеріального ексудату, який, висихаючи, перетворюється на блискучі лусочки. З віком плями, збільшуючись, об'єднуються, тканина листка випадає. На стеблах і бобах бактеріальний опік спостерігається у вигляді темно-коричневих смуг. На бобах плями жовтуваті, маслянисті, з віком - темно-коричневі. Хворі насіння втрачають схожість або дають нежиттєздатні проростки. Хвороботворні бактерії можуть зберігатися на насінні та в полі на залишках уражених рослин.","Symptoms of the disease are observed in both young and mature plants. On the outer side of the cotyledon leaves, greenish-yellow oily spots of various shapes and sizes appear, while on the hypocotyl, there are elongated brownish-brown spots. In the early stages, small spots on the leaves are yellowish-brown, watery, and translucent, eventually turning dark brown or black. On the underside of the leaf, droplets of bacterial exudate are secreted, which dry into shiny scales. As the spots grow with age, they merge, causing the leaf tissue to fall out. On stems and pods, bacterial blight appears as dark brown streaks. On pods, the spots are yellowish and oily, becoming dark brown with age. Infected seeds lose viability or produce non-viable seedlings. Pathogenic bacteria can persist on seeds and in the field on the remnants of affected plants.",,,,,,,downloads\images/diseases\disease_Бактериальный_ожог_2c1ca477-a9ef-4296-8e77-b81a6e4904c8.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/bakterialni_ozhog_soi/,соя
793ebc4c-2ca5-4613-82bb-fc7809fce2e2,Вирусная мозаика сои,Soybean mosaic virus,,True,Возбудитель -Soja virus,Збудник - Soja virus,Pathogen - Soja virus,"Симптомы болезниВирус мозаики сои - очень вредоносное заболевание, снижающее урожайность до 24-40 % и более, а также уменьшающее содержание белка в семенах на 7-19 % и масла на 2,0-2,5 %. Симптомы можно обнаружить на примордиальных листьях, которые скручиваются в трубочку, на них видна яркая мозаичность. По мере роста тройчатых листьев на них сначала наблюдается просветление жилок листьев, затем они становятся морщинистыми, между жилками образуются темно-зеленые вздутия, которые размещаются рядами вдоль больных жилок или беспорядочно по поверхности листа. Болезнь вызывает свертывание краев листа книзу, а верхушки - кверху. Листья становятся хрупкими и кожистыми. Вирус хорошо проявляется при температуре 18,5 °С, а при 29,5 °С симптомы ее менее заметны. Больное растение может и не отстать в росте, но образует меньше бобов и семян. Бобы бывают изогнуты в виде серпа, гладкие, блестящие, не опушенные. Семена, полученные от таких растений, имеют различную пигментацию радиального типа и ухудшают товарный вид зерна.Основной источник инфекции: зараженный семенной материал, а в период вегетации вирус передается механически (насекомыми, при бороновании всходов и т.п.)","Симптоми хвороби Вірус мозаїки сої - дуже шкідливе захворювання, яке знижує врожайність до 24-40 % і більше, а також зменшує вміст білка в насінні на 7-19 % та олії на 2,0-2,5 %. Симптоми можна виявити на примордіальних листках, які скручуються в трубочку, на них видно яскраву мозаїчність. У міру росту трійчастих листків спочатку спостерігається просвітлення жилок листків, потім вони стають зморшкуватими, між жилками утворюються темно-зелені здуття, які розміщуються рядами вздовж уражених жилок або безладно по поверхні листка. Хвороба викликає згортання країв листка донизу, а верхівки - догори. Листки стають крихкими та шкірястими. Вірус добре проявляється при температурі 18,5 °С, а при 29,5 °С симптоми менш помітні. Уражена рослина може і не відставати в рості, але утворює менше бобів і насіння. Боби бувають зігнуті у вигляді серпа, гладкі, блискучі, не опушені. Насіння, отримане від таких рослин, має різну пігментацію радіального типу і погіршує товарний вигляд зерна. Основне джерело інфекції: заражений насіннєвий матеріал, а в період вегетації вірус передається механічно (комахами, при боронуванні сходів тощо).","Symptoms of the Disease

Soybean mosaic virus is a highly detrimental disease that can reduce yield by 24-40% or more, and decrease protein content in seeds by 7-19% and oil content by 2.0-2.5%. Symptoms can be detected on the primordial leaves, which curl into a tube and exhibit bright mosaic patterns. As the trifoliate leaves grow, initial symptoms include vein clearing, followed by wrinkling, with dark green blisters forming between the veins. These blisters may align in rows along the affected veins or appear randomly across the leaf surface. The disease causes the leaf edges to curl downward and the tips to curl upward. Leaves become brittle and leathery. The virus is most pronounced at a temperature of 18.5°C, while symptoms are less noticeable at 29.5°C. Although an infected plant may not lag in growth, it produces fewer pods and seeds. The pods may be curved like a sickle, smooth, shiny, and non-pubescent. Seeds from such plants exhibit various radial pigmentation patterns, which degrade the commercial appearance of the grain.

The primary source of infection is contaminated seed material, and during the growing season, the virus is mechanically transmitted (by insects, during harrowing of seedlings, etc.).",,,,,,,downloads\images/diseases\disease_Вирусная_мозаика_сои_793ebc4c-2ca5-4613-82bb-fc7809fce2e2.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/virusnaya_mozaika_soi/,соя
f7b7d553-3ed0-41e7-8561-8768832d5e28,Пероноспороз или ложная мучнистая роса,Peronosporosis or downy mildew,гриб,True,Возбудитель - грибPeronospora manshurica (Naum.) Syd.,Збудник - гриб Peronospora manshurica (Naum.) Syd.,Pathogen - the fungus Peronospora manshurica (Naum.) Syd.,"Симптомы болезниЗаболевание встречается повсеместно, но наиболее вредоносна во влажных районах. Проявляется в форме общего угнетения растения или в виде локальной пятнистости листьев. При общем поражении на пораженных листьях и семядолях обнаруживаются хлорозные пятна. Все листья и черешки покрываются сплошным налетом спороношения. Бобы на таких растениях деформированные, бессемянные с обильным спороношением гриба. При локальном поражении на верхней стороне листьев формируются светло-зеленые пятна, со временем буреющие; на нижней стороне листа образуется серовато-фиолетовый войлочный налет спороношения. При поражении бобов налет чаще развивается внутри бобов. При обеих формах заболевания семена покрыты желтовато-серым плотным мучнистым налетом ооспор. Весной возобновление гриба происходит только ооспорами. Жизнеспособность их на семенах составляет 1,5 года, на растительных остатках 1 год.Источники инфекции: зараженные семена и растительные остатки культурной и дикорастущей сои.Гриб поражает культурную и дикорастущую сою, вызывая уменьшение ассимиляционной поверхности листьев, приводящее к снижению продуктивности больных растений на 40 % и содержания масла до 1,07 %, всхожесть семян уменьшается на 30 %, а вес семян снижается на 5-50 %.","Симптоми хвороби

Захворювання зустрічається повсюдно, але найбільш шкідливе у вологих районах. Проявляється у формі загального пригнічення рослини або у вигляді локальної плямистості листя. При загальному ураженні на уражених листках і сім'ядолях виявляються хлорозні плями. Усі листки та черешки покриваються суцільним нальотом спороношення. Боби на таких рослинах деформовані, безнасінні з рясним спороношенням гриба. При локальному ураженні на верхньому боці листків формуються світло-зелені плями, які з часом буріють; на нижньому боці листка утворюється сірувато-фіолетовий повстяний наліт спороношення. При ураженні бобів наліт частіше розвивається всередині бобів. При обох формах захворювання насіння покрите жовтувато-сірим щільним борошнистим нальотом ооспор. Навесні відновлення гриба відбувається лише ооспорами. Їх життєздатність на насінні становить 1,5 року, на рослинних рештках 1 рік.

Джерела інфекції: заражене насіння та рослинні рештки культурної та дикорослої сої.

Гриб уражає культурну та дикорослу сою, викликаючи зменшення асиміляційної поверхні листків, що призводить до зниження продуктивності хворих рослин на 40 % і вмісту олії до 1,07 %, схожість насіння зменшується на 30 %, а вага насіння знижується на 5-50 %.","Symptoms of the Disease

The disease is widespread but is most harmful in humid areas. It manifests as general plant suppression or as localized leaf spotting. In cases of general infection, chlorotic spots appear on affected leaves and cotyledons. All leaves and petioles become covered with a continuous layer of sporulation. Pods on such plants are deformed, seedless, with abundant fungal sporulation. In cases of localized infection, light green spots form on the upper side of the leaves, which eventually turn brown; on the underside of the leaf, a grayish-purple felt-like layer of sporulation develops. When pods are infected, the sporulation often develops inside the pods. In both forms of the disease, seeds are covered with a yellowish-gray dense powdery layer of oospores. In spring, the fungus resumes activity only through oospores. Their viability on seeds lasts for 1.5 years, and on plant residues for 1 year.

Sources of infection include infected seeds and plant residues of cultivated and wild soybeans. The fungus affects both cultivated and wild soybeans, causing a reduction in the assimilative surface of the leaves, leading to a 40% decrease in the productivity of diseased plants and a reduction in oil content to 1.07%. Seed germination decreases by 30%, and seed weight is reduced by 5-50%.",,,,,,,downloads\images/diseases\disease_Пероноспороз_или_ложная_мучнистая_роса_f7b7d553-3ed0-41e7-8561-8768832d5e28.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/peronosporos/,соя
1bdee465-5985-4716-a1af-7bf462877f24,Пурпурный церкоспороз сои,Purple Cercospora of Soybean,гриб,True,Возбудитель - грибCercospora kikuchii,Збудник - гриб Cercospora kikuchii,Pathogen - the fungus Cercospora kikuchii,"Симптомы болезниПоражает сою во все фазы и проявляется на листьях, стеблях, бобах и семенах. Инфекция распространяется только в семенной оболочке. При прорастании больных семян, которые отличаются окраской от слабо-розовой до пурпурно-черной, семядольные листочки становятся темно-пурпурными и опадают. На стебле появляются охватывающие темно-пурпурные некротические пятна. На листьях пятна красновато-коричневые от мелких до крупных (1 см в диаметре). На бобах пятна вдавленные, красно-пурпурные, овальные или угловатые, до 2 см. Больные растения часто погибают, иногда плодоносят, образуя больные семена. Гриб сохраняется в растительных остатках и семенах до двух лет и более.Ухудшает товарные и посевные качества семян.","Симптоми хвороби Вражає сою на всіх фазах розвитку та проявляється на листках, стеблах, бобах і насінні. Інфекція поширюється лише в насіннєвій оболонці. При проростанні уражених насінин, які відрізняються забарвленням від слабо-рожевого до пурпурно-чорного, сім'ядольні листочки стають темно-пурпуровими і опадають. На стеблі з'являються темно-пурпурові некротичні плями, що охоплюють його. На листках плями червонувато-коричневі, від дрібних до великих (1 см у діаметрі). На бобах плями вдавлені, червоно-пурпурові, овальні або кутові, до 2 см. Уражені рослини часто гинуть, іноді плодоносять, утворюючи уражене насіння. Гриб зберігається в рослинних рештках і насінні до двох років і більше. Погіршує товарні та посівні якості насіння.","Symptoms of the Disease

The disease affects soybeans at all growth stages and manifests on leaves, stems, pods, and seeds. The infection spreads only within the seed coat. When infected seeds, which vary in color from light pink to purplish-black, germinate, the cotyledonary leaves become dark purple and fall off. Dark purple necrotic spots appear on the stem. On the leaves, the spots are reddish-brown, ranging from small to large (up to 1 cm in diameter). On the pods, the spots are sunken, red-purple, oval, or angular, up to 2 cm. Infected plants often die, though sometimes they bear fruit, producing diseased seeds. The fungus persists in plant debris and seeds for up to two years or more, deteriorating the commercial and sowing quality of the seeds.",,,,,,,downloads\images/diseases\disease_Пурпурный_церкоспороз_сои_1bdee465-5985-4716-a1af-7bf462877f24.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/purpurni_tsercosporoz/,соя
1a767a4b-34ac-4477-8dd8-3969c578f30a,Септориоз или ржавая пятнистость,Septoria leaf spot or rust spot,гриб,True,Возбудитель - грибSeptoria glycines,Збудник - гриб Septoria glycines,Pathogen - the fungus Septoria glycines,,,,,,,,,,downloads\images/diseases\disease_Септориоз_или_ржавая_пятнистость_1a767a4b-34ac-4477-8dd8-3969c578f30a.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/septorios_soi/,соя
bba68038-0c3e-4e74-9648-498bd5adde26,Склеротиниоз (белая гниль) сои,Sclerotinia stem rot (white mold) of soybean,гриб,True,Возбудитель - грибSclerotinia sclerotiorum,Збудник - гриб Sclerotinia sclerotiorum,Pathogen - the fungus Sclerotinia sclerotiorum,"Симптомы болезниПовсеместно распространенное заболевание сои. Обнаруживается в конце цветения - начале бобообразования в виде светлых пятен, которые во влажную погоду превращаются в мокрую гниль, а в сухую - в трухлявую массу. Пятна становятся бурыми, покрываются белым плотным ватообразным налетом, на котором образуются черные крупные склероции разной формы и величины.Пораженные стебли надламываются, растения увядают. Створки пораженных бобов обесцвечиваются, становятся трухлявыми, покрываются белым налетом со склероциями, семена в них загнивают, пораженные бобы обычно опадают.Источник инфекции: зараженные семена и сохранившиеся в почве склероции.","Симптоми хвороби

Повсюдно поширене захворювання сої. Виявляється наприкінці цвітіння - на початку формування бобів у вигляді світлих плям, які у вологу погоду перетворюються на мокру гниль, а в суху - на трухляву масу. Плями стають бурими, покриваються білим щільним ватоподібним нальотом, на якому утворюються чорні великі склероції різної форми та величини. Уражені стебла надламуються, рослини в'януть. Стулки уражених бобів знебарвлюються, стають трухлявими, покриваються білим нальотом зі склероціями, насіння в них загниває, уражені боби зазвичай опадають. Джерело інфекції: заражене насіння та склероції, що збереглися в ґрунті.","Symptoms of the Disease

A widespread disease of soybeans. It is detected at the end of flowering and the beginning of pod formation as light spots, which in wet weather turn into wet rot, and in dry conditions become a decayed mass. The spots turn brown and are covered with a dense white cotton-like mycelium, on which large black sclerotia of various shapes and sizes form. Affected stems break, and plants wilt. The pods of affected beans become discolored, turn decayed, and are covered with a white mycelium with sclerotia; the seeds inside rot, and the affected pods usually fall off. Source of infection: infected seeds and sclerotia preserved in the soil.",,,,,,,downloads\images/diseases\disease_Склеротиниоз_(белая_гниль)_сои_bba68038-0c3e-4e74-9648-498bd5adde26.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/sklerotinioz/,соя
d4891c35-7df4-4f14-a44a-8c3427913efb,Фомопсис сои,Phomopsis of soybean,гриб,True,Возбудитель - грибDiaporthe phaseolorum,Збудник - гриб Diaporthe phaseolorum,Pathogen - the fungus Diaporthe phaseolorum,"Симптомы болезниБолезнь вызывает гниль семян, поражение семядолей, черешков, стеблей, листьев в виде бурых или красно-коричневых пятен. Пораженные растения отстают в росте. Проявляется заболевание вначале на черешках нижних листьев, чаще в фазе образования бобов. На листьях образуются бурые или красновато-коричневые пятна. Листья засыхают, но не опадают.Бобы сои при раннем поражении опадают или растрескиваются, семена в них морщинистые, плесневеют, теряют всхожесть и пищевые качества.На пораженных стеблях образуются буро-коричневые зоны, начиная со второго междоузлия и до половины побега.Возбудитель фомопсиса передается через семена, вызывая заражение проростков. Патоген может сохраняться также в растительных остатках в виде пикнид. Растения с механическими повреждениями более восприимчивы к заболеванию.Вредоносность заболевания заключается в уменьшении количества бобов, снижении массы семян и их всхожести. При сильном поражении сои содержание масла в семенах уменьшается на 2,5 %.","Симптоми хвороби Хвороба викликає гниль насіння, ураження сім'ядоль, черешків, стебел, листя у вигляді бурих або червоно-коричневих плям. Уражені рослини відстають у рості. Захворювання проявляється спочатку на черешках нижніх листків, частіше у фазі формування бобів. На листках утворюються бурі або червонувато-коричневі плями. Листя засихає, але не опадає. Боби сої при ранньому ураженні опадають або розтріскуються, насіння в них зморщене, пліснявіє, втрачає схожість і харчові якості. На уражених стеблах утворюються буро-коричневі зони, починаючи з другого міжвузля і до половини пагона. Збудник фомопсису передається через насіння, викликаючи зараження проростків. Патоген може зберігатися також у рослинних залишках у вигляді пікнід. Рослини з механічними пошкодженнями більш сприйнятливі до захворювання. Шкідливість захворювання полягає у зменшенні кількості бобів, зниженні маси насіння та їх схожості. При сильному ураженні сої вміст олії в насінні зменшується на 2,5 %.","Symptoms of the Disease

The disease causes seed rot and affects cotyledons, petioles, stems, and leaves, manifesting as brown or reddish-brown spots. Affected plants exhibit stunted growth. The disease initially appears on the petioles of the lower leaves, often during the pod formation stage. Brown or reddish-brown spots develop on the leaves. The leaves dry out but do not fall off. Soybean pods, when affected early, may drop or crack, with seeds inside becoming wrinkled, moldy, losing germination ability and nutritional quality. On affected stems, brownish zones form, starting from the second internode to halfway up the shoot.

The pathogen, Phomopsis, is transmitted through seeds, causing infection in seedlings. The pathogen can also persist in plant residues in the form of pycnidia. Plants with mechanical damage are more susceptible to the disease. The harmfulness of the disease lies in the reduction of pod quantity, seed mass, and germination. In cases of severe soybean infection, the oil content in seeds decreases by 2.5%.",,,,,,,downloads\images/diseases\disease_Фомопсис_сои_d4891c35-7df4-4f14-a44a-8c3427913efb.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/fomopsis-soi/,соя
b2f8568f-ebd5-415e-b560-794165a69155,Фузариозная корневая гниль сои,Fusarium root rot of soybean,,True,Возбудитель -грибыFusarium avenaceum Sacc. и F. culmorum Sac.,Збудник - гриби Fusarium avenaceum Sacc. та F. culmorum Sac.,The pathogen is the fungi Fusarium avenaceum Sacc. and F. culmorum Sacc.,"Симптомы болезниВерхушка поврежденного растения сникает, что чаще всего бывает в период бутонизации, цветения, образования бобов. Молодые бобы в первой фазе налива приобретают вид «ошпаренных» горячей водой, с водянистым зелено-фиолетовым оттенком. Больные растения легко выдергиваются из почвы, у основания стебля нередко можно обнаружить оранжево-розовый налет спороношений гриба. Поперечный разрез стебля позволяет видеть закупоренные проводящие пучки, приобретающие тот же оранжево-розовый оттенок. Поражаются и семена сои.","Симптоми хвороби Верхівка ураженої рослини в'яне, що найчастіше спостерігається в період бутонізації, цвітіння, утворення бобів. Молоді боби на першій фазі наливу набувають вигляду «ошпарених» гарячою водою, з водянистим зелено-фіолетовим відтінком. Хворі рослини легко висмикуються з ґрунту, біля основи стебла нерідко можна виявити оранжево-рожевий наліт спороношень гриба. Поперечний розріз стебла дозволяє побачити закупорені провідні пучки, які набувають того ж оранжево-рожевого відтінку. Уражаються і насіння сої.","Symptoms of the Disease

The apex of the affected plant wilts, which most commonly occurs during the budding, flowering, and pod formation stages. Young pods in the initial filling phase appear ""scalded"" by hot water, exhibiting a watery green-purple hue. Diseased plants are easily pulled from the soil, and an orange-pink spore coating of the fungus can often be found at the base of the stem. A cross-section of the stem reveals clogged vascular bundles, which take on the same orange-pink hue. Soybean seeds are also affected.","Факторы, содействующие развитию болезниВысокая температура и неустойчивый водный режим почвы во второй половине лета.Чередовании культур, способствующих накоплению инфекции в почве.","Фактори, що сприяють розвитку хворобиВисока температура та нестійкий водний режим ґрунту в другій половині літа.Чергування культур, що сприяють накопиченню інфекції в ґрунті.","Factors Contributing to Disease Development

High temperatures and unstable soil moisture conditions in the second half of summer. Crop rotation practices that promote the accumulation of infection in the soil.",Меры защитыПредпосевное внесение в почву фосфорно-калийных удобренийУборка всех послеуборочных остатков с последующей глубокой зяблевой вспашкойИспользование устойчивых сортовСевооборотПротравливание семян,Заходи захистуПередпосівне внесення в ґрунт фосфорно-калійних добривЗбирання всіх післяжнивних залишків з подальшою глибокою зяблевою оранкоюВикористання стійких сортівСівозмінаПротруювання насіння,"Protective Measures

- Pre-sowing application of phosphorus-potassium fertilizers into the soil
- Removal of all post-harvest residues followed by deep autumn plowing
- Use of resistant varieties
- Crop rotation
- Seed treatment",downloads\images/diseases\disease_Фузариозная_корневая_гниль_сои_b2f8568f-ebd5-415e-b560-794165a69155.jpg,https://betaren.ru/harmful/bolezni/bolezni-soi/fuzariozn_kornevaya_gnil_soi/,соя
